Nome,zl,zs,Sigma ap,dSigma ap,thetaE,Survey,theta ap,Theta eff,sigma0,dsigma0,sigma_atm_(arcsec)
J0151+0049,0.5170,1.3640,219.00,39.00,0.68,BELLS,1.00,0.890,226.00,40.00,1.80
J0747+5055,0.4380,0.8980,328.00,60.00,0.75,BELLS,1.00,1.240,334.00,61.00,1.80
J0747+4448,0.4370,0.8970,281.00,52.00,0.61,BELLS,1.00,2.870,277.00,51.00,1.80
J0801+4727,0.4830,1.5180,98.00,24.00,0.49,BELLS,1.00,0.570,103.00,25.00,1.80
J0830+5116,0.5300,1.3320,268.00,36.00,1.14,BELLS,1.00,1.100,274.00,37.00,1.80
J0944–0147,0.5390,1.1790,204.00,34.00,0.72,BELLS,1.00,1.350,207.00,35.00,1.80
J1159–0007,0.5790,1.3460,165.00,41.00,0.68,BELLS,1.00,0.990,170.00,42.00,1.80
J1215+0047,0.6420,1.2970,262.00,45.00,1.37,BELLS,1.00,1.420,266.00,46.00,1.80
J1221+3806,0.5350,1.2840,187.00,48.00,0.7,BELLS,1.00,0.930,193.00,49.00,1.80
J1234–0241,0.4900,1.0160,122.00,31.00,0.53,BELLS,1.00,1.610,123.00,31.00,1.80
J1318–0104,0.6590,1.3960,177.00,27.00,0.68,BELLS,1.00,1.060,182.00,28.00,1.80
J1337+3620,0.5640,1.1820,225.00,35.00,1.39,BELLS,1.00,1.600,227.00,35.00,1.80
J1349+3612,0.4400,0.8930,178.00,18.00,0.75,BELLS,1.00,2.030,178.00,18.00,1.80
J1352+3216,0.4630,1.0340,161.00,21.00,1.82,BELLS,1.00,1.350,164.00,21.00,1.80
J1522+2910,0.5550,1.3110,166.00,27.00,0.74,BELLS,1.00,1.080,170.00,28.00,1.80
J1541+1812,0.5600,1.1130,174.00,24.00,0.64,BELLS,1.00,0.590,183.00,25.00,1.80
J1542+1629,0.3520,1.0230,210.00,16.00,1.04,BELLS,1.00,1.450,213.00,16.00,1.80
J1545+2748,0.5220,1.2890,250.00,37.00,1.21,BELLS,1.00,2.650,247.00,37.00,1.80
J1601+2138,0.5440,1.4460,207.00,36.00,0.86,BELLS,1.00,0.630,217.00,38.00,1.80
J1611+1705,0.4770,1.2110,109.00,23.00,0.58,BELLS,1.00,1.330,111.00,23.00,1.80
J1631+1854,0.4080,1.0860,272.00,14.00,1.63,BELLS,1.00,2.070,272.00,14.00,1.80
J1637+1439,0.3910,0.8740,208.00,30.00,0.65,BELLS,1.00,0.890,215.00,31.00,1.80
