CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.437 19.401 17.486 16.659 18.57065387 22.28309171 1.0
0.539 22.437 20.597 19.395 18.62722677 21.16722281 1.0
0.549 21.433 19.593 18.364 22.83027481 20.96663051 1.0
0.589 22.146 20.288 18.975 18.82091615 20.66077505 1.0
0.082 15.529 14.509 14.139 17.1955096 20.85744648 1.0
0.314 19.574 17.728 17.088 19.21950684 19.26809167 1.0
0.151 15.76 14.512 14.054 19.26161786 21.85867592 1.0
0.435 21.223 19.306 18.484 19.42271621 22.25154986 1.0
0.331 20.941 19.026 18.375 20.82815459 19.92333137 1.0
0.566 21.762 19.92 18.651 18.46592817 20.85651153 1.0
0.476 22.072 20.183 19.204 21.35223674 21.34235576 1.0
0.099 15.973 14.905 14.523 17.83310398 22.05725263 1.0
0.415 22.059 20.127 19.366 19.39870743 19.0754032 1.0
0.791 23.923 21.485 20.106 19.67642366 21.57546008 1.0
0.325 20.404 18.509 17.862 19.26861986 21.0120457 1.0
0.29 20.009 18.266 17.642 19.54214848 21.52660389 1.0
0.642 23.013 21.079 19.647 19.65497746 21.59139877 1.0
0.508 21.714 19.865 18.763 17.96285012 21.28598681 1.0
0.474 21.911 20.02 19.048 18.86028292 21.80342183 1.0
0.801 24.626 22.141 20.785 20.47346003 19.06872537 1.0
0.196 17.651 16.21 15.692 18.88784195 22.03813715 1.0
0.282 20.552 18.837 18.223 19.07632608 20.5874141 1.0
0.62 22.264 20.361 18.985 20.965807 20.83525706 1.0
0.344 20.456 18.509 17.852 17.7157825 21.03793093 1.0
0.483 20.725 18.846 17.84 20.59299142 20.24175707 1.0
0.272 18.46 16.777 16.175 17.95926036 19.17509473 1.0
0.569 21.55 19.707 18.433 19.55832684 22.36989276 1.0
0.504 22.254 20.402 19.315 20.08746967 21.36311589 1.0
0.602 22.804 20.93 19.592 19.91893143 19.51869758 1.0
0.164 16.761 15.462 14.985 20.10874826 20.50035544 1.0
0.477 22.139 20.252 19.267 19.93200581 20.10202473 1.0
0.558 21.234 19.393 18.142 18.29076512 22.9983402 1.0
